id,招生单位,所在地,院系所,专业,学习方式,研究方向,拟招人数,政治,外语,业务课一,业务课二,考试方式,指导老师,备注
1024621018025100011,(10246)复旦大学,(31)上海市,(018)数学科学学院,(025100)(专业学位)金融,全日制,(01)金融工程与管理,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621018025100021,(10246)复旦大学,(31)上海市,(018)数学科学学院,(025100)(专业学位)金融,全日制,(02)风险管理与保险精算,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621018025100031,(10246)复旦大学,(31)上海市,(018)数学科学学院,(025100)(专业学位)金融,全日制,(03)随机金融与风险分析,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621018025100041,(10246)复旦大学,(31)上海市,(018)数学科学学院,(025100)(专业学位)金融,全日制,(04)金融衍生品的定价与计算,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100011,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(01)基金管理,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100021,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(02)量化投资,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100031,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(03)投资银行,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100041,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(04)资产管理,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100051,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(05)金融科技,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
1024621068025100061,(10246)复旦大学,(31)上海市,(068)经济学院,(025100)(专业学位)金融,全日制,(06)定量金融,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分导师,具体请参见我校研招网公布的硕士生招生专业目录相关专业备注信息。
