id,招生单位,所在地,院系所,专业,学习方式,研究方向,拟招人数,政治,外语,业务课一,业务课二,考试方式,指导老师,备注
1068121003025100001,(10681)云南师范大学,(53)云南省,(003)经济与管理学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：45(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,丁文丽教授、张广斌教授、李富昌教授、杨永华教授、李正彪教授、杨杰教授、叶育甫副教授、杨玲玲副教授、刘方副教授、聂彩仁副教授、庞磊副教授、彭洁副教授、翁维副教授、夏飞龙博士、杨发琼副教授、徐旻副教授、姜艳庆博士、李珏兴博士,
1012621003025100001,(10126)内蒙古大学,(15)内蒙古自治区,(003)经济管理学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,不招收同等学力考生
1058921017025100072,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,非全日制,(07)金融风险监管与防范,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1058921017025100041,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,全日制,(04)自贸港建设与金融支持,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1058921017025100011,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,全日制,(01)商业银行经营与管理,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1073621008025100021,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(02)金融理财,专业：50(不含推免),(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1067421009025100011,(10674)昆明理工大学,(53)云南省,(009)管理与经济学院,(025100)(专业学位)金融,全日制,(01)金融,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,
1013921000025100001,(10139)内蒙古财经大学,(15)内蒙古自治区,(000)不区分院系所,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：40(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,金桩,
1073021068025100002,(10730)兰州大学,(62)甘肃省,(068)经济学院,(025100)(专业学位)金融,非全日制,(00)不区分研究方向,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,硕士研究生不报导师，导师在录取或入学后双向选择确定。,学院及专业招生计划数以2022年实际录取数的95%为基础上报（仅参考），最终招生人数以教育部下达我校2023年招生计划为准，分专业招生人数可能发生增减。报考条件及同等学力要求见兰州大学2023年硕士研究生招生简章和专业目录（http://yz.lzu.edu.cn）。
1074321012025100001,(10743)青海大学,(63)青海省,(012)财经学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：24(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,不区分指导教师,同等学力考生复试时需加试；可使用无记忆功能计算器。
1075921016025100001,(10759)石河子大学,(65)新疆维吾尔自治区,(016)经济与管理学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：44(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,
1073621008025100021,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(02)金融理财,专业：50(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1076621030025100011,(10766)新疆财经大学,(65)新疆维吾尔自治区,(030)金融学院,(025100)(专业学位)金融,全日制,(01)金融监管,专业：56(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1076621030025100031,(10766)新疆财经大学,(65)新疆维吾尔自治区,(030)金融学院,(025100)(专业学位)金融,全日制,(03)国际（中亚）金融理论与实务,专业：56(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1069521008025100021,(10695)西藏民族大学,(54)西藏自治区,(008)财经学院,(025100)(专业学位)金融,全日制,(02)金融机构管理与创新,专业：14(不含推免),(101)思想政治理论,(240)梵文,(396)经济类综合能力,(431)金融学综合,统考,,
1069521008025100031,(10695)西藏民族大学,(54)西藏自治区,(008)财经学院,(025100)(专业学位)金融,全日制,(03)证券投资与资本运作,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1074121005025100021,(10741)兰州财经大学,(62)甘肃省,(005)金融学院,(025100)(专业学位)金融,全日制,(02)投资理财,专业：69(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1058921017025100082,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,非全日制,(08)跨国投资与离岸金融.,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1069521008025100031,(10695)西藏民族大学,(54)西藏自治区,(008)财经学院,(025100)(专业学位)金融,全日制,(03)证券投资与资本运作,专业：14(不含推免),(101)思想政治理论,(240)梵文,(396)经济类综合能力,(431)金融学综合,统考,,
1140721008025100021,(11407)北方民族大学,(64)宁夏回族自治区,(008)经济学院,(025100)(专业学位)金融,全日制,(02)商业银行经营与管理,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,刘七军等,
